127.0.0.1 - - [25/Dec/2020:14:51:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/product/prFac.jsp HTTP/1.1" 200 10077
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/product/js/bootstrap.min.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/product/js/SmoothScroll.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/product/js/theme-scripts.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:09 +0900] "GET /StudyCafe_2/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:23 +0900] "GET /StudyCafe_2/studycafe?command=prList HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/product/prList.jsp HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/product/js/SmoothScroll.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/product/js/bootstrap.min.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/product/js/theme-scripts.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/css/productlist.css HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/images/line.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/images/room02.png HTTP/1.1" 200 1535198
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:51:40 +0900] "GET /StudyCafe_2/images/room03.png HTTP/1.1" 200 1527317
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:00 +0900] "GET /StudyCafe_2/studycafe?command=prDetailFee HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/product/prList.jsp HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/product/js/SmoothScroll.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/product/js/bootstrap.min.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/product/js/theme-scripts.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/css/productlist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/images/line.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/images/room02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:05 +0900] "GET /StudyCafe_2/images/room03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:45 +0900] "GET /StudyCafe_2/product/prList.jsp HTTP/1.1" 200 9314
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:45 +0900] "GET /StudyCafe_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:45 +0900] "GET /StudyCafe_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:14:54:45 +0900] "GET /StudyCafe_2/product/js/bootstrap.min.js HTTP/1.1" 404 858
